date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-05-13,9.734367868553171,-5.0,2191,480,32,1410.0,8998.0,6945.0,19015.0,60.0,21.91,1.46,2019-05-13,2019,5,13,0,Mon
2019-05-14,-4.156824782187803,-10.0,2066,238,24,290.0,3574.0,3099.0,4441.0,0.0,11.52,1.16,2019-05-14,2019,5,14,1,Tue
2019-05-15,-2.9006410256410255,-9.0,2184,253,33,117.0,3302.0,5087.0,5044.0,0.0,11.58,1.51,2019-05-15,2019,5,15,2,Wed
2019-05-16,4.916742493175614,-5.0,2198,456,22,791.0,7286.0,6469.0,11844.0,36.0,20.75,1.0,2019-05-16,2019,5,16,3,Thu
2019-05-17,3.1274774774774774,-5.0,2220,398,23,803.0,7694.0,4829.0,9314.0,102.0,17.93,1.04,2019-05-17,2019,5,17,4,Fri
2019-05-18,16.77590361445783,-5.0,1660,503,90,7602.0,9288.0,11318.0,11595.0,0.0,30.3,5.42,2019-05-18,2019,5,18,5,Sat
2019-05-19,14.470955352856457,-2.0,2083,628,46,1062.0,11922.0,12620.0,16016.0,36.0,30.15,2.21,2019-05-19,2019,5,19,6,Sun
2019-05-20,9.895881536325776,-3.0,2161,538,36,2151.0,10127.0,8720.0,12913.0,0.0,24.9,1.67,2019-05-20,2019,5,20,0,Mon
2019-05-21,9.608055009823183,-4.0,2036,538,57,926.0,6649.0,8311.0,16707.0,31.0,26.42,2.8,2019-05-21,2019,5,21,1,Tue
2019-05-22,-0.8273615635179153,-7.0,2149,316,14,178.0,5053.0,3001.0,7155.0,0.0,14.7,0.65,2019-05-22,2019,5,22,2,Wed
2019-05-23,18.266761095372992,1.0,2118,711,62,1681.0,12480.0,12680.0,20653.0,0.0,33.57,2.93,2019-05-23,2019,5,23,3,Thu
2019-05-24,5.363553113553113,-5.0,2184,460,14,1886.0,7301.0,5886.0,10811.0,0.0,21.06,0.64,2019-05-24,2019,5,24,4,Fri
2019-05-25,-3.2060643564356437,-11.0,1616,150,2,869.0,5053.0,1786.0,3956.0,23.0,9.28,0.12,2019-05-25,2019,5,25,5,Sat
2019-05-26,-0.003928170594837262,-10.0,1782,234,8,1049.0,5640.0,4966.0,5162.0,17.0,13.13,0.45,2019-05-26,2019,5,26,6,Sun
2019-05-27,2.6860119047619047,-9.0,2016,335,60,1389.0,9100.0,6758.0,7759.0,0.0,16.62,2.98,2019-05-27,2019,5,27,0,Mon
2019-05-28,11.529638554216868,-4.0,2075,547,72,2484.0,7358.0,14814.0,12218.0,0.0,26.36,3.47,2019-05-28,2019,5,28,1,Tue
2019-05-29,12.739583333333334,-4.0,2016,665,177,1941.0,8870.0,14397.0,13268.0,17.0,32.99,8.78,2019-05-29,2019,5,29,2,Wed
2019-05-30,8.683532219570406,-5.0,2095,519,63,1657.0,8304.0,9681.0,12563.0,18.0,24.77,3.01,2019-05-30,2019,5,30,3,Thu
2019-05-31,1.994272076372315,-7.0,2095,388,20,190.0,7601.0,4921.0,7053.0,18.0,18.52,0.95,2019-05-31,2019,5,31,4,Fri
2019-06-01,8.412457912457912,-7.0,1782,342,28,2031.0,8903.0,7556.0,11055.0,12.0,19.19,1.57,2019-06-01,2019,6,1,5,Sat
2019-06-02,11.397101449275363,-5.0,2070,524,44,3602.0,9995.0,11258.0,12210.0,41.0,25.31,2.13,2019-06-02,2019,6,2,6,Sun
2019-06-03,1.9588665447897624,-8.0,2188,357,29,193.0,10577.0,3820.0,7940.0,18.0,16.32,1.33,2019-06-03,2019,6,3,0,Mon
2019-06-04,0.16326530612244897,-9.0,2156,301,32,1399.0,7523.0,3840.0,6298.0,10.0,13.96,1.48,2019-06-04,2019,6,4,1,Tue
2019-06-05,9.079754601226995,-4.0,2119,540,41,1741.0,6929.0,10910.0,12589.0,36.0,25.48,1.93,2019-06-05,2019,6,5,2,Wed
2019-06-06,4.1855203619909505,-6.0,2210,428,13,634.0,8238.0,4901.0,11113.0,515.0,19.37,0.59,2019-06-06,2019,6,6,3,Thu
2019-06-07,6.730398899587345,-4.0,2181,465,18,1372.0,9559.0,5226.0,12350.0,33.0,21.32,0.83,2019-06-07,2019,6,7,4,Fri
